"取引No","取引日","勘定科目","補助科目","部門","取引先","税区分","インボイス","相手勘定科目","相手補助科目","相手部門","相手取引先","相手税区分","相手インボイス","摘要","借方金額","貸方金額","残高","メモ","タグ"
"744","2025/03/05","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","支払手数料","芝信金ネットバンキング","本社共通費","","課仕 10%","","手数料","0","1650","1408745","",""
"488","2025/03/07","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","","アパレル","","対象外","","SHOPIFY_アパレル売上","11534","0","1420279","",""
"623","2025/03/11","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","預り金","毎月／所得税","","","対象外","","鶴見税務署_源泉徴収","0","82505","1337774","",""
"769","2025/03/11","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","現金","","","","対象外","","AD065","299000","0","1636774","",""
"770","2025/03/11","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","現金","","","","対象外","","AD065","210000","0","1846774","",""
"37","2025/03/14","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","普通預金","法人楽天銀行第三営業支店円預金(普通預金)7236500","","","対象外","","残金不足のため補充（楽天銀行→芝信用金庫）","2000000","0","3846774","",""
"487","2025/03/14","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","18530","0","3865304","",""
"750","2025/03/16","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","受取利息","","本社共通費","","非売","","決算利息　芝信用金庫","1136","0","3866440","",""
"1188","2025/03/17","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","FC収入","","FC事業","","課売 10%","","ストライプジャパン_3月分_ShapeUnity売上","255976","0","4122416","",""
"489","2025/03/21","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","アパレル売上高","Paidy","","","課売 10%","","ペイデイ_2月分_アパレル売上","25572","0","4147988","",""
"490","2025/03/21","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","28748","0","4176736","",""
"335","2025/03/24","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","","","","対象外","","ogle_10月～2月分_サブチャン売上（3/24振込）※8,000円以上でないと振込がされないため、数ヶ月分がまとめて振込されている","9013","0","4185749","",""
"336","2025/03/24","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","業務委託料","鈴木社労士","本社共通費","","課仕 10%","","鈴木社労士報酬_2月分","0","19958","4165791","",""
"664","2025/03/26","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","未払金","三井住友カードご本人/代表会員Visaオーナーズ","","","対象外","","三井住友カード_11月◯日～◇月◇日","0","7068","4158723","",""
"491","2025/03/27","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","リース料","","YouTube","","課仕 10%","","DF.ALL_社用車リース代","0","63470","4095253","",""
"492","2025/03/28","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","16448","0","4111701","",""
"1823","2025/03/31","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","諸口","","","","","","社会保険料_2月分","0","588947","3522754","",""
"494","2025/04/04","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","45634","0","3568388","",""
"745","2025/04/07","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","支払手数料","芝信金ネットバンキング","本社共通費","","課仕 10%","","手数料","0","1650","3566738","",""
"495","2025/04/10","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","諸口","","","","","","アメックスカード引き落とし","0","1284518","2282220","",""
"496","2025/04/10","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","預り金","毎月／所得税","","","対象外","","鶴見税務署_源泉徴収","0","85501","2196719","",""
"665","2025/04/10","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","預り金","住民税","","","対象外","","3月分_市県民税","0","131900","2064819","",""
"666","2025/04/10","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","預り金","住民税","","","対象外","","大川菜菜子_3月分_市県民税","0","14300","2050519","",""
"1168","2025/04/10","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","租税公課","","本社共通費","","対象外","","令和7年度償却資産税","0","42400","2008119","",""
"497","2025/04/11","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","26127","0","2034246","",""
"1189","2025/04/15","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","FC収入","","FC事業","","課売 10%","","ストライプジャパン_4月分_ShapeUnity売上","21035","0","2055281","",""
